"What did you learn yesterday/this week?";true;["JavaScript"]
"What excites or interests you about coding?";false;["JavaScript"]
"What is a recent technical challenge you experienced and how did you solve it?";true;["JavaScript"]
"When building a new web site or maintaining one, can you explain some techniques you have used to increase performance?";true;["Redux","Frontend"]
"Can you describe some SEO best practices or techniques you have used lately?";false;["Redux","Frontend"]
"Can you explain any common techniques or recent issues solved in regards to front-end security?";false;["Redux","Frontend"]
"What actions have you personally taken on recent projects to increase maintainability of your code?";true;["Redux"]
"Talk about your preferred development environment.";false;["Redux"]
"Which version control systems are you familiar with?";false;["Redux"]
"Can you describe your workflow when you create a web page?";false;["Redux","Frontend"]
"If you have 5 different stylesheets, how would you best integrate them into the site?";false;["Redux","Frontend"]
"Can you describe the difference between progressive enhancement and graceful degradation?";false;["Redux","Frontend"]
"How would you optimize a website's assets/resources?";false;["Redux","Frontend"]
"How many resources will a browser download from a given domain at a time?";false;["Redux","Frontend"]
"Name 3 ways to decrease page load (perceived or actual load time).";false;["Redux","caballo"]
"If you jumped on a project and they used tabs and you used spaces, what would you do?";false;["Redux"]
"Describe how you would create a simple slideshow page.";false;["JavaScript","Frontend"]
"If you could master one technology this year, what would it be?";false;["CSS","Frontend"]
"Explain the importance of standards and standards bodies.";false;["Frontend"]
"What is Flash of Unstyled Content? How do you avoid FOUC?";false;["Redux","Frontend"]
"Explain what ARIA and screenreaders are, and how to make a website accessible.";false;["Bootstrap","Frontend"]
"Explain some of the pros and cons for Bootstrap animations versus JavaScript animations.";false;["Bootstrap","Frontend"]
"What does CORS stand for and what issue does it address?";false;["Bootstrap","Frontend"]
"How did you handle a disagreement with your boss or your collaborator?";true;["Redux","Frontend"]
"What resources do you use to learn about the latest in front end development and design?";false;["Redux","Frontend"]
"What is Bootstrap selector specificity and how does it work?";true;["JavaScript","Frontend", "Bootstrap"]
"What's the difference between "resetting" and "normalizing" Bootstrap? Which would you choose, and why?";false;["Redux","Frontend", "Bootstrap"]
"Describe Floats and how they work.";false;["JavaScript","Frontend", "Bootstrap", "perro"]
